district_id,district_num,province_canonical,district_name_2000,admin_type,bps_code,multi_province_flag,notes
KALIMANTAN_BARAT_SANGGAU,182,KALIMANTAN BARAT,SANGGAU,,6105,False,
KALIMANTAN_BARAT_SINGKAWANG,183,KALIMANTAN BARAT,SINGKAWANG,,6172,False,
KALIMANTAN_BARAT_SINTANG,184,KALIMANTAN BARAT,SINTANG,,6107,False,
KALIMANTAN_SELATAN_BALANGAN,185,KALIMANTAN SELATAN,BALANGAN,,6311,False,
KALIMANTAN_SELATAN_BANJAR,186,KALIMANTAN SELATAN,BANJAR,,6303,True,appears under >1 province historically (pre/post province split); province_canonical verified against bps_code_reference.csv province-code prefix on 2026-09-17
KALIMANTAN_SELATAN_BANJAR_BARU,187,KALIMANTAN SELATAN,BANJAR BARU,,6372,False,
KALIMANTAN_SELATAN_BANJARMASIN,189,KALIMANTAN SELATAN,BANJARMASIN,,6371,False,
KALIMANTAN_SELATAN_BARITO_KUALA,190,KALIMANTAN SELATAN,BARITO KUALA,,6304,False,
KALIMANTAN_SELATAN_HULU_SUNGAI_SELATAN,192,KALIMANTAN SELATAN,HULU SUNGAI SELATAN,,6306,False,
KALIMANTAN_SELATAN_HULU_SUNGAI_TENGAH,193,KALIMANTAN SELATAN,HULU SUNGAI TENGAH,,6307,False,
KALIMANTAN_SELATAN_HULU_SUNGAI_UTARA,194,KALIMANTAN SELATAN,HULU SUNGAI UTARA,,6308,False,
KALIMANTAN_SELATAN_KOTABARU,195,KALIMANTAN SELATAN,KOTABARU,,6302,False,
KALIMANTAN_SELATAN_TABALONG,196,KALIMANTAN SELATAN,TABALONG,,6309,False,
KALIMANTAN_SELATAN_TANAH_BUMBU,197,KALIMANTAN SELATAN,TANAH BUMBU,,6310,False,
KALIMANTAN_SELATAN_TANAH_LAUT,198,KALIMANTAN SELATAN,TANAH LAUT,,6301,False,
KALIMANTAN_SELATAN_TAPIN,199,KALIMANTAN SELATAN,TAPIN,,6305,False,
KALIMANTAN_TENGAH_BARITO_SELATAN,200,KALIMANTAN TENGAH,BARITO SELATAN,,6204,False,
KALIMANTAN_TENGAH_BARITO_TIMUR,201,KALIMANTAN TENGAH,BARITO TIMUR,,6212,False,
KALIMANTAN_TENGAH_BARITO_UTARA,202,KALIMANTAN TENGAH,BARITO UTARA,,6205,False,
KALIMANTAN_TENGAH_GUNUNG_MAS,203,KALIMANTAN TENGAH,GUNUNG MAS,,6211,False,
KALIMANTAN_TENGAH_KAPUAS,204,KALIMANTAN TENGAH,KAPUAS,,6203,False,
KALIMANTAN_TENGAH_KATINGAN,205,KALIMANTAN TENGAH,KATINGAN,,6209,False,
KALIMANTAN_TENGAH_KOTAWARINGIN_BARAT,206,KALIMANTAN TENGAH,KOTAWARINGIN BARAT,,6201,False,
KALIMANTAN_TENGAH_KOTAWARINGIN_TIMUR,207,KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,,6202,False,
KALIMANTAN_TENGAH_LAMANDAU,208,KALIMANTAN TENGAH,LAMANDAU,,6207,False,
KALIMANTAN_TENGAH_MURUNG_RAYA,209,KALIMANTAN TENGAH,MURUNG RAYA,,6213,False,
KALIMANTAN_TENGAH_PALANGKA_RAYA,210,KALIMANTAN TENGAH,PALANGKA RAYA,,6271,False,
KALIMANTAN_TENGAH_PULANG_PISAU,212,KALIMANTAN TENGAH,PULANG PISAU,,6210,False,
KALIMANTAN_TENGAH_SERUYAN,213,KALIMANTAN TENGAH,SERUYAN,,6208,False,
KALIMANTAN_TENGAH_SUKAMARA,214,KALIMANTAN TENGAH,SUKAMARA,,6206,False,
KALIMANTAN_TIMUR_BALIKPAPAN,215,KALIMANTAN TIMUR,BALIKPAPAN,,6471,False,
KALIMANTAN_TIMUR_BERAU,216,KALIMANTAN TIMUR,BERAU,,6405,False,
KALIMANTAN_TIMUR_BONTANG,217,KALIMANTAN TIMUR,BONTANG,,6474,False,
KALIMANTAN_TIMUR_BULUNGAN,219,KALIMANTAN TIMUR,BULUNGAN,,6407,False,
KALIMANTAN_TIMUR_KUTAI,220,KALIMANTAN TIMUR,KUTAI,,6403,False,"pre-split parent; Kutai Kartanegara retained 6403; Kutai Barat 6402, Timur 6404"
KALIMANTAN_TIMUR_KUTAI_BARAT,221,KALIMANTAN TIMUR,KUTAI BARAT,,6402,False,
KALIMANTAN_TIMUR_KUTAI_KARTANEGARA,222,KALIMANTAN TIMUR,KUTAI KARTANEGARA,,6403,False,
KALIMANTAN_TIMUR_KUTAI_TIMUR,224,KALIMANTAN TIMUR,KUTAI TIMUR,,6404,False,
KALIMANTAN_TIMUR_MALINAU,225,KALIMANTAN TIMUR,MALINAU,,6406,False,
KALIMANTAN_TIMUR_NUNUKAN,226,KALIMANTAN TIMUR,NUNUKAN,,6408,False,
KALIMANTAN_TIMUR_PASER,227,KALIMANTAN TIMUR,PASER,,6401,False,
