id,nama_daerah_otonom_hasil_pemekaran,ibukota_hasil_pemekaran,uu_pembentukan,tentang,tggl_berlaku_uu,daerah_induk,wilayah_provinsi,luas_wilayah_induk,luas_wilayah_hasil_pemekaran,segmen_batas_daerah_otonom_hasil_pemekaran,jumlah_pddk_daerah_induk,jumlah_pddk_daerah_hasil_pemekaran,jumlah_kecamatan_daerah_otonom_hasil_pemekaran,jumlah_kelurahan_otonom_hasil_pemekaran,jumlah_desa_daerah_otonom_hasil_pemekaran,status_pembentukan,keterangan
106,KABUPATEN PUNCAK JAYA,MULIA,NO. 45 TAHUN 1999,"Pembentukan Propinsi Irian Jaya Tengah, Propinsi Irian Jaya Barat, Kabupaten Paniai, Kabupaten Mimika, Kabupaten Puncak Jaya, Dan Kota Sorong",4 Oktober 1999,KABUPATEN JAYAWIJAYA,PROVINSI PAPUA,7030.66,4989.51,"Kab. Mamberamo Raya
Kab. Puncak
Kab Tolikara
Kab. Lanny Jaya",271341,217429,26,3,302,PENINGKATAN STATUS DARI KABUPATEN ADMINISTRATIF MENJADI KABUPATEN OTONOM,-
107,KABUPATEN YALIMO,ELELIM,NO. 4 TAHUN 2008,Pembentukan Kabupaten Yalimo Di Provinsi Papua,04 Januari 2008,KABUPATEN JAYAWIJAYA,PROVINSI PAPUA,7030.66,1253,"Kab. Jayapura
 Kab. Sarmi
Kab. Mamberamo Tengah
Kab. Yahukimo
 Kab. Jayawijaya",271341,120650,5,-,300,INISIATIF DPR-RI,-
108,KABUPATEN INTAN JAYA,YOKATAPA,NO. 54. TAHUN 2008,Pembentukan Kabupaten Intan Jaya di Provinsi Papua,26 November 2008,KABUPATEN PANIAI,PROVINSI PAPUA,6525.25,3922.02,Kab. WaropenKab. Nabire Kab.PaniaiKab. PuncakKab. Mimika,120409,137408,8,0,97,INISIATIF DPR-RI,-
109,KABUPATEN KUANTAN SINGINGI,TELUK KUANTAN,NO. 53 TAHUN 1999,"Pembentukan Kabupaten Pelalawan, Kabupaten Rokan Hulu, Kabupaten Rokan Hilir, Kabupaten Siak, Kabupaten Karimun, Kabupaten Natuna, Kabupaten Kuantan Singingi, dan Kota Batam",4 Oktober 1999,KABUPATEN INDRAGIRI HULU,PROVINSI RIAU,7723.8,5259.36,"Kab. Kampar
Kab. Pelalawan
Kab. Indragiri Hulu
Kab. Tebo (Prov. Jambi)
Kab. Sijunjung (Prov. Sumatera Barat)
Kab. Dharmasraya (Prov. Sumatera Barat)",427771,330966,15,11,218,-,-
110,KABUPATEN PEGUNUNGAN ARFAK,ANGGI,NO. 24 TAHUN 2012,Pembentukan Kabupaten Pegunungan Arfak di Provinsi Papua Barat,17 November 2012,KABUPATEN MANOKWARI,PROVINSI PAPUA BARAT,3186.28,2773.74,Kab. ManokwariKab. TambrauwKab. Manokwari SelatanKab. Teluk Bintuni,188806,38426,10,0,166,INISIATIF DPR-RI,-
111,KABUPATEN SIAK,KOTA SIAK SRI INDERAPURA,NO. 53 TAHUN 1999,"Pembentukan Kabupaten Pelalawan, Kabupaten Rokan Hulu, Kabupaten Rokan Hilir, Kabupaten Siak, Kabupaten Karimun, Kabupaten Natuna, Kabupaten Kuantan Singingi, dan Kota Batam",4 Oktober 1999,KABUPATEN BENGKALIS,PROVINSI RIAU,6975.41,8275.18,"Kota Pekanbaru
Kab. Bangkalis
Kab. Pelalawan
Kab. Kampar
Kab. Rokan Hulu",544144,422869,14,9,122,-,-
112,KABUPATEN ROKAN HILIR,BAGANSIAPIAPI,NO. 53 TAHUN 1999,"Pembentukan Kabupaten Pelalawan, Kabupaten Rokan Hulu, Kabupaten Rokan Hilir, Kabupaten Siak, Kabupaten Karimun, Kabupaten Natuna, Kabupaten Kuantan Singingi, dan Kota Batam",4 Oktober 1999,KABUPATEN BENGKALIS,PROVINSI RIAU,6975.41,8881.59,"Kota Pekanbaru
Kab. Bangkalis
Kab. Pelalawan
Kab. Kampar
Kab. Rokan Hulu",544144,638679,18,25,159,-,-
113,KABUPATEN KEPULAUAN MERANTI,SELAT PANJANG,NO. 12 TAHUN 2009,Pembentukan Kabupaten Kepulauan Meranti Di Provinsi Riau,16 Januari 2009,KABUPATEN BENGKALIS,PROVINSI RIAU,6975.41,3707.84,"Tidak ada batas darat
",544144,208580,9,5,96,-,-
114,KOTA SORONG,-,NO. 45 TAHUN 1999,"Pembentukan Propinsi Irian Jaya Tengah, Propinsi Irian Jaya Barat, Kabupaten Paniai, Kabupaten Mimika, Kabupaten Puncak Jaya, Dan Kota Sorong",4 Oktober 1999,KABUPATEN SORONG,PROVINSI PAPUA BARAT,6544.23,656.64,Kab. Sorong,122431,279307,10,41,-,-,-
115,KABUPATEN MANOKWARI SELATAN,RANSIKI,NO. 23 TAHUN 2012,Pembentukan Kabupaten Manokwari Selatan di Provinsi Papua Barat,17 November 2012,KABUPATEN MANOKWARI,PROVINSI PAPUA BARAT,3186.28,2812.44,Kab. ManokwariKab. Pegunungan ArfakKab. Teluk BintuniKab. Teluk Wondama,188806,36467,6,0,57,INISIATIF DPR-RI,-
116,KABUPATEN SORONG SELATAN,TEMINABUAN,NO. 26 TAHUN 2002,"Pembentukan Kabupaten Sarmi, Kabupaten Keerom,Kabupaten Sorong Selatan, Kabupaten Raja Ampat,Kabupaten Pegunungan Bintang, Kabupaten Yahukimo,Kabupaten Tolikara, Kabupaten Waropen,Kabupaten Kaimana, Kabupaten Boven Digoel, KabupatenMappi, Kabupaten Asmat,",11 Desember 2002,KABUPATEN SORONG,PROVINSI PAPUA BARAT,6544.23,6594.31,"Kab. Maybrat
Kab. Sorong
Kab. Teluk Bintuni",122431,60357,15,2,121,-,-
117,KABUPATEN MAYBRAT,KUMURKEK,NO. 13 TAHUN 2009,Pembentukan Kabupaten Maybrat di Provinsi Papua Barat,16 Januari 2009,KABUPATEN SORONG,PROVINSI PAPUA BARAT,6544.23,5461.69,"Kab. Tambrauw
Kab. Sorong
Kab. Teluk Bintuni
Kab. Sorong Selatan",122431,43687,24,1,259,INISIATIF DPR-RI,-
118,KABUPATEN TELUK WONDAMA,RASIEY,NO. 26 TAHUN 2002,"Pembentukan Kabupaten Sarmi, Kabupaten Keerom,Kabupaten Sorong Selatan, Kabupaten Raja Ampat,Kabupaten Pegunungan Bintang, Kabupaten Yahukimo,Kabupaten Tolikara, Kabupaten Waropen,Kabupaten Kaimana, Kabupaten Boven Digoel, KabupatenMappi, Kabupaten Asmat,",11 Desember 2002,KABUPATEN MANOKWARI,PROVINSI PAPUA BARAT,3186.28,3959.53,"Kab. Manokwari Selatan
Kab. Teluk Bintuni
Kab. Nabire - Prov. Papua
Kab. Kaimana",188806,43986,13,1,75,-,-
119,KABUPATEN ROKAN HULU,PASIR PENGARAIAN,NO. 53 TAHUN 1999,"Pembentukan Kabupaten Pelalawan, Kabupaten Rokan Hulu, Kabupaten Rokan Hilir, Kabupaten Siak, Kabupaten Karimun, Kabupaten Natuna, Kabupaten Kuantan Singingi, dan Kota Batam",4 Oktober 1999,KABUPATEN KAMPAR,PROVINSI RIAU,10983.47,7588.13,"Kab. Pasaman (Prov. Sumatera Barat)
Kab. Lima Puluh Koto (Prov. Sumatera Barat)
Kab. Rokan Hilir
Kab. Bengkalis
Kab. Siak
Kab. Kampar",748956,556199,16,6,139,-,-
120,KABUPATEN TELUK BINTUNI,BINTUNI,NO. 26 TAHUN 2002,"Pembentukan Kabupaten Sarmi, Kabupaten Keerom,Kabupaten Sorong Selatan, Kabupaten Raja Ampat,Kabupaten Pegunungan Bintang, Kabupaten Yahukimo,Kabupaten Tolikara, Kabupaten Waropen,Kabupaten Kaimana, Kabupaten Boven Digoel, KabupatenMappi, Kabupaten Asmat,",11 Desember 2002,KABUPATEN MANOKWARI,PROVINSI PAPUA BARAT,3186.28,20840.83,"Kab. Tambrauw
Kab. Pegunungan Arfak
Kab. Maybrat
Kab. Sorong Selatan
Kab. Fak-Fak
Kab. Teluk Wondama
Kab. Manokwari Selatan
Kab. Kaimana",188806,79501,24,2,115,-,-
121,KOTA DUMAI,-,NO. 16 TAHUN 1999,Pembentukan Kotamadya Daerah Tingkat II Dumai,20 April 1999,KABUPATEN BENGKALIS,PROVINSI RIAU,6975.41,1623.38,Kab. Rokan HilirKab. Bengkalis,544144,288741,7,33,0,PENINGKATAN STATUS DARI KOTA ADMINISTRATIF MENJADI KOTA OTONOM,-
122,KABUPATEN MOROWALI UTARA,KOLONODALE,NO. 12 TAHUN 2013,Pembentukan Kabupaten Morowali Utara di Provinsi Sulawesi Tengah,15 Mei 2013,KABUPATEN MOROWALI,PROVINSI SULAWESI TENGAH,3037.04,10004.28,"Kab. Tojo Una-Una
Kab. Poso
Kab. Banggai
Kab. Marowali
SULAWESI SELATAN (Luwu Timur)",142194,121249,10,3,122,INISIATIF DPR-RI,-
123,KABUPATEN SIGI,SIGI BIROMARU,NO. 27 TAHUN 2008,Pembentukan Kabupaten Sigi Di Provinsi Sulawesi Tengah,21 Juli 2008,KABUPATEN DONGGALA,PROVINSI SULAWESI TENGAH,4275.08,5196.02,"Kota Palu
Kab. Parigi Moutong
Kab. Donggala
Kab. Poso
SULAWESI BARAT(Pasangkayu)
SULAWESI BARAT (Pasangkayu)
SULAWESI SELATAN (Luwu Utara)",301978,251479,15,-,176,-,-
124,KABUPATEN PARIGI MOUTONG,PARIGI,NO. 10 TAHUN 2002,Pembentukan Kabupaten Parigi Moutong Di Provinsi Sulawesi Tengah,10 April 2002,KABUPATEN DONGGALA,PROVINSI SULAWESI TENGAH,4275.08,5089.91,"Kab. Toli-ToliKab. BuolKota PaluKab. DonggalaKab. PahuwatoKab. Poso,Kab. Sigi",301978,447652,23,5,278,-,-
125,KABUPATEN BANGGAI LAUT,BANGGAI,NO. 5 TAHUN 2013,Pembentukan Kabupaten Banggai Laut di Provinsi Sulawesi Tengah,11 Januari 2013,KABUPATEN BANGGAI KEPULAUAN,PROVINSI SULAWESI TENGAH,2488.79,725.67,Garis Pantai,121661,67245,7,3,63,INISIATIF DPR-RI,-
126,KABUPATEN BANGGAI KEPULAUAN,SALAKAN,NO. 51 TAHUN 1999,"Pembentukan Kabupaten Buol, Kabupaten Morowali, dan Kabupaten Banggai Kepulauan",4 Oktober 1999,KABUPATEN BANGGAI,PROVINSI SULAWESI TENGAH,9672.7,2488.79,Garis Pantai,366173,121661,12,3,141,-,-
127,KABUPATEN TORAJA UTARA,RANTEPAO,NO. 28 TAHUN 2008,Pembentukan Kabupaten Toraja Utara Di Provinsi Sulawesi Selatan,21 Juli 2008,KABUPATEN TANA TORAJA,PROVINSI SULAWESI SELATAN,1990.22,1215.55,"Kab. Mamuju Prov. Sulawesi Barat 
Kab. Luwu Utara Prov. Sulawesi Selatan 
Kab. Luwu Prov. Sulawesi Selatan 
Kab. Tana Toraja Prov. Sulawesi Selatan ",285687,245490,21,40,111,INISIATIF DPR-RI,-
128,KABUPATEN LUWU TIMUR,MALILI,NO. 7 TAHUN 2003,Pembentukan Kabupaten Luwu Timur dan Kabupaten Mamuju Utara di Provinsi Sulawesi Selatan,25 Februari 2003,KABUPATEN LUWU UTARA,PROVINSI SULAWESI SELATAN,7502.58,6944.88,"Kab. Konawe Prov. Sulawesi Tenggara
Kab. Kolaka Utara Prov. Sulawesi Tenggara 
Kab. Poso Prov. Sulawesi Tengah 
Kab. Morowali Utara Prov. Sulawesi Tengah 
Kab. Morowali Prov. Sulawesi Tengah 
Kab. Luwu Utara Prov. Sulawesi Selatan ",368801,299975,11,3,124,INISIATIF DPR-RI,-
129,KOTA PALOPO,-,NO. 11 TAHUN 2002,Pembentukan Kabupaten Mamasa Dan Kota Palopo Di Provinsi Sulawesi Selatan,10 April 2002,KABUPATEN LUWU,PROVINSI SULAWESI SELATAN,3343.97,252.99,Kab. Luwu Prov. Sulawesi Selatan Kab. Tana Toraja Prov. Sulawesi Selatan ,378987,187236,9,48,0,PENINGKATAN STATUS DARI KOTA ADMINISTRATIF MENJADI KOTA OTONOM,-
130,KABUPATEN MAMASA,MAMASA,NO. 11 TAHUN 2002,Pembentukan Kabupaten Mamasa Dan Kota Palopo Di Provinsi Sulawesi Selatan,10 April 2002,KABUPATEN POLEWALI MAMASA,PROVINSI SULAWESI BARAT,1775.65,3005.88,Kab. Pinrang Prov. Sulawesi SelatanKab. Tana Toraja Prov. Sulawesi SelatanKab. Polewali Mandar Prov. Sulawesi Barat Kab. Majene Prov. Sulawesi Barat Kab. Mamuju Prov. Sulawesi Barat ,521691,206145,17,13,168,-,Perubahan Nama Daerah Induk berdasarkan PP No. 74 Tahun 2005 tentang Perubahan Nama Kabupaten Polewali Mamasa menjadi Kabupaten Polewali Mandar
131,KABUPATEN PASANGKAYU,PASANGKAYU,NO. 7 TAHUN 2003,Pembentukan Kabupaten Luwu Timur dan Kabupaten Mamuju Utara di Provinsi Sulawesi Selatan,25 Februari 2003,KABUPATEN MAMUJU,PROVINSI SULAWESI BARAT,4999.69,3043.75,Kab. Mamuju Tengah Prov. Sulawesi Barat,302155,211934,12,4,59,INISIATIF DPR-RI,Perubahan nama daerah otonom hasil pemelkaran berdasarkan PP No. 61 Tahun 2017 tentang Perubahan nama Kabupaten Mamuju Utara menjadi Kabupaten Pasangkayu di Provinsi Sulawesi Barat
132,KABUPATEN MAMUJU TENGAH,TOBADAK,NO. 4 TAHUN 2013,Pembentukan Kabupaten Mamuju Tengah di Provinsi Sulawesi Barat,11 Januari 2013,KABUPATEN MAMUJU,PROVINSI SULAWESI BARAT,4999.69,3014.37,"Kab. Luwu Utara Prov. Sulawesi Selatan 
Kab. Pasangkayu Prov. Sulawesi Barat 
Kab. Mamuju Prov. Sulawesi Barat ",302155,145764,5,-,54,INISIATIF DPR-RI,-
133,KOTA KOTAMOBAGU,-,NO. 4 TAHUN 2007,Pembentukan Kota Kotamobagu di Provinsi Sulawesi Utara,2 Januari 2007,KABUPATEN BOLAANG MONGONDOW,PROVINSI SULAWESI UTARA,2871.65,108.89,"Kab. Bolaang Mongondow Timur
Kab Bolaang Mongondow",249803,124173,4,18,15,-,-
134,KABUPATEN BOLAANG MONGONDOW TIMUR,TUTUYAN,NO. 29 TAHUN 2008,Pembentukan Kabupaten Bolaang Mongondow Timur Di Provinsi Sulawesi Utara,21 Juli 2008,KABUPATEN BOLAANG MONGONDOW,PROVINSI SULAWESI UTARA,2871.65,910.18,"Kab Minahasa Selatan
Kab Minahasa Tenggara
Kota Kotamobagu,
Kab. Bolaang Mongondow
Kab Bolaang Mongondow Selatan",249803,88063,7,-,81,INISIATIF DPR-RI,-
135,KABUPATEN BOLAANG MONGONDOW UTARA,BOROKO,NO. 10 TAHUN 2007,Pembentukan Kabupaten Bolaang Mongondow Utara di Provinsi Sulawesi Utara,2 Januari 2007,KABUPATEN BOLAANG MONGONDOW,PROVINSI SULAWESI UTARA,2871.65,1680,"Kab. Gotontalo Utara
Kab Bolaang Mongondow
""Kab.Bone Bolango, 
Kab Bolaang Mongondow Selatan""",249803,84468,6,1,106,INISIATIF DPR-RI,-
136,KABUPATEN MUNA BARAT,LAWORO,NO. 14 TAHUN 2014, Pembentukan Kabupaten Muna Barat di Provinsi Sulawesi Tenggara,23 Juli 2014,KABUPATEN MUNA,PROVINSI SULAWESI TENGGARA,1922.16,1022.89,Kab. Muna Prov. Sulawesi Tenggara ,231548,83108,11,5,81,INISIATIF DPR-RI,-
137,KABUPATEN BUTON UTARA,BURANGA,NO. 14 TAHUN 2007,Pembentukan Kabupaten Buton Utara di Provinsi Sulawesi Tenggara,02 Januari 2007,KABUPATEN MUNA,PROVINSI SULAWESI TENGGARA,1922.16,1864.91,"Kab. Buton  Prov. Sulawesi Tenggara
Kab. Muna  Prov. Sulawesi Tenggara ",231548,65961,6,12,78,INISIATIF DPR-RI,-
138,KABUPATEN KONAWE SELATAN,ANDOLO,NO. 4 TAHUN 2003, Pembentukan Kabupaten Konawe Selatan di Provinsi Sulawesi Tenggara,25 Februari 2003,KABUPATEN KONAWE,PROVINSI SULAWESI TENGGARA,4435.28,5779.47,Kab. Kolaka Timur Prov. Sulawesi Tenggara,257180,310988,25,15,336,INISIATIF DPR-RI,-
139,KABUPATEN KONAWE KEPULAUAN,LANGARA,NO. 13 TAHUN 2013,Pembentukan Kabupaten Konawe Kepulauan di Provinsi Sulawesi Tenggara,15 Mei 2013,KABUPATEN KONAWE,PROVINSI SULAWESI TENGGARA,4435.28,867.58,Tidak ada batas darat,257180,37126,7,7,89,INISIATIF DPR-RI,-
140,KABUPATEN KONAWE UTARA,WANGGUDU,NO. 13 TAHUN 2007,Pembentukan Kabupaten Konawe Utara di Provinsi Sulawesi Tenggara,2 Januari 2007,KABUPATEN KONAWE,PROVINSI SULAWESI TENGGARA,4435.28,5101.76,Kab. Konawe Prov. Sulawesi Tenggara ,257180,68565,13,11,159,INISIATIF DPR-RI,-
141,KABUPATEN KOLAKA UTARA,LASUSUA,NO. 29 TAHUN 2003,"Pembentukan Kabupaten Bombana, Kabupaten Wakatobi, dan Kabupaten Kolaka Utara di Provinsi Sulawesi Tenggara",18 Desember 2003,KABUPATEN KOLAKA,PROVINSI SULAWESI TENGGARA,3283.59,3391.67,"Kab. Luwu Timur Prov. Sulawesi Selatan 
Kab. Kolaka Prov. Sulawesi Tenggara 
Kab. Kolaka Timur Prov. Sulawesi Tenggara 
Kab. Konawe Prov. Sulawesi Tenggara ",233161,138313,15,6,127,INISIATIF DPR-RI,-
142,KOTA BAU BAU,-,NO. 13 TAHUN 2001,Pembentukan Kota Bau-Bau,21 Juni 2001,KABUPATEN BUTON,PROVINSI SULAWESI TENGGARA,1212.99,221,Kab.Mamuju Prov. Sulawesi Tenggara ,118013,157549,8,43,-,PENINGKATAN STATUS DARI KOTA ADMINISTRATIF MENJADI KOTA OTONOM,-
143,KABUPATEN WAKATOBI,WANGI-WANGI,NO. 29 TAHUN 2003,"Pembentukan Kabupaten Bombana, Kabupaten Wakatobi, dan Kabupaten Kolaka Utara di Provinsi Sulawesi Tenggara",18 Desember 2003,KABUPATEN BUTON,PROVINSI SULAWESI TENGGARA,1212.99,559.54,Tidak ada batas darat,118013,114362,8,26,75,INISIATIF DPR-RI,-
144,KABUPATEN BOMBANA,RUMBIA,NO. 29 TAHUN 2003,"Pembentukan Kabupaten Bombana, Kabupaten Wakatobi, dan Kabupaten Kolaka Utara di Provinsi Sulawesi Tenggara",18 Desember 2003,KABUPATEN BUTON,PROVINSI SULAWESI TENGGARA,1212.99,3001,"Kab. Kolaka Timur Prov. Sulawesi Tenggara
Kab. Buton Prov. Sulawesi Tenggara 
Kab. Kolaka Prov. Sulawesi Tenggara 
Kab. Konawe Selatan Prov. Sulawesi Tenggara ",118013,140558,22,22,121,INISIATIF DPR-RI,-
145,KABUPATEN BUTON SELATAN,BATAUGA,NO. 16 TAHUN 2014,Pembentukan Kabupaten Buton Selatan di Provinsi Sulawesi Tenggara,23 Juli 2014,KABUPATEN BUTON,PROVINSI SULAWESI TENGGARA,1212.99,509.92,"Kab. Buton  Prov. Sulawesi Tenggara 
Kota Bau-Bau  Prov. Sulawesi Tenggara",118013,98070,7,10,60,INISIATIF DPR-RI,-
146,KABUPATEN BUTON TENGAH,LABUNGKARI,NO. 15 TAHUN 2014,Pembentukan Kabupaten Buton Tengah di Provinsi Sulawesi Tenggara,23 Juli 2014,KABUPATEN BUTON,PROVINSI SULAWESI TENGGARA,1212.99,958.31,"Kab. Muna  Prov. Sulawesi Tenggara 
Kab. Bombana  Prov. Sulawesi Tenggara ",118013,117815,7,10,67,INISIATIF DPR-RI,-
147,KABUPATEN MOROWALI,BUNGKU,NO. 51 TAHUN 1999,"Pembentukan Kabupaten Buol, Kabupaten Morowali, dan Kabupaten Banggai Kepulauan",4 Oktober 1999,KABUPATEN POSO,PROVINSI SULAWESI TENGAH,7112.25,3037.04,"Kab. Morowali Utara
SULAWESI TENGGARA (Konawe, Konawe Utara)
SULAWESI TENGAH (Luwu Timur)",246270,142194,9,7,126,-,-
148,KABUPATEN KEPULAUAN TALAUD,MELONGUANE,NO. 8 TAHUN 2002,Pembentukan Kabupaten Kepulauan Talaud Di Provinsi Sulawesi Utara,10 April 2002,KABUPATEN SANGIHE TALAUD,PROVINSI SULAWESI UTARA,461.11,1240.4,Garis Pantai,143400,96161,19,11,142,-,-
149,KOTA PRABUMULIH,-,NO. 6 TAHUN 2001,Pembentukan Kota Prabumulih,21 Juni 2001,KABUPATEN MUARA ENIM,PROVINSI SUMATERA SELATAN,7383.9,251.94,"Kab. Penukal Abab Lematang Ilir
Kabuapten Muara Enim
Kab. Ogan Ilir",576105,197069,6,25,12,PENINGKATAN STATUS DARI KOTA ADMINISTRATIF MENJADI KOTA OTONOM,-
150,KOTA PAGAR ALAM,-,NO. 8 TAHUN 2001,Pembentukan Kota Pagar Alam,21 Juni 2001,KABUPATEN LAHAT,PROVINSI SUMATERA SELATAN,5311.74,633.66,"Kab. Bengkulu Selatan
Kab. Kaur
Kab. Muara Enim
Kab. Lahat",432957,145549,5,35,-,PENINGKATAN STATUS DARI KOTA ADMINISTRATIF MENJADI KOTA OTONOM,-
151,KABUPATEN EMPAT LAWANG,TEBING TINGGI,NO. 1 TAHUN 2007,Pembentukan Kabupaten Empat Lawang Di Provinsi Sumatera Selatan,2 Januari 2007,KABUPATEN LAHAT,PROVINSI SUMATERA SELATAN,5311.74,2256.44,"Kab. Rejanglebong (Prov. Bengkulu)
Kab. Kepahiang (Prov. Bengkulu)
Kab. Seluma (Prov. Bengkulu)
Kab. Musi Rawas (Prov. Sumatera Selatan)
Kab. Lahat (Prov. Sumatera Selatan)",432957,332515,10,9,147,-,-
152,KABUPATEN SOLOK SELATAN,PADANG ARO,NO. 38 TAHUN 2003,"Pembentukan Kabupaten Dharmasraya, Kabupaten Solok Selatan, dan Kabupaten Pasaman Barat di Provinsi Sumatera Barat",18 Desember 2003,KABUPATEN SOLOK,PROVINSI SUMATERA BARAT,3738,3346.2,"Kab. Solok
Kab. Kerinci
Kab. Pesisir Selatan
Kab. Dharmasraya ",384091,180905,7,-,39,-,-
153,KABUPATEN DHARMASRAYA,PULAU PUNJUNG,NO. 38 TAHUN 2003,"Pembentukan Kabupaten Dharmasraya, Kabupaten Solok Selatan, dan Kabupaten Pasaman Barat di Provinsi Sumatera Barat",18 Desember 2003,KABUPATEN SAWAH LUNTO SIJUNJUNG,PROVINSI SUMATERA BARAT,3130.4,2961.13,"Kab. Kuantan Singingi
Kab. Kerinci
Kab. Bungo
Kab. Tebo (Prov. Jambi)
Kab. Solok
Kab. Sijunjung (Prov. Sumatera Barat)
Kab. Solok Selatan",236910,212653,11,-,52,INISIATIF DPR-RI,Perubahan Nama Daerah Induk berdasarkan PP No. 25 Tahun 2008 tentang Perubahan Nama Kabupaten Sawahlunto Sijunjung menjadi Kabupaten Sijunjung Provinsi Sumatera Barat
154,KABUPATEN PASAMAN BARAT,SIMPANG AMPEK,NO. 38 TAHUN 2003,"Pembentukan Kabupaten Dharmasraya, Kabupaten Solok Selatan, dan Kabupaten Pasaman Barat di Provinsi Sumatera Barat",18 Desember 2003,KABUPATEN PASAMAN,PROVINSI SUMATERA BARAT,3947.63,3887.77,"Kab. Mandailing Natal
Kab. Agam
Kab. Pasaman",318379,431575,11,-,19,-,-
155,KABUPATEN KEPULAUAN MENTAWAI,SELAT PANJANG,NO. 49 TAHUN 1999,Pembentukan Kabupaten Kepulauan Mentawai,4 Oktober 1999,KABUPATEN PADANG PARIAMAN,PROVINSI SUMATERA BARAT,1332.51,6011.35,Garis Pantai,427919,87517,10,-,43,-,-
156,KABUPATEN BANYUASIN,PANGKALAN BALAI,NO. 6 TAHUN 2002,Pembentukan Kabupaten Banyuasin Di Provinsi Sumatera Selatan,10 April 2002,KABUPATEN MUSI BANYUASIN,PROVINSI SUMATERA SELATAN,14266.26,11832.99,Kab. Muaro JambiKab. Tanjung Jabung TimurKab. Penungkal Abab Lematang IlirKab. Musi BanyuasinKab. Ogan IlirKota PalembangKab. Muara EnimKab. Ogan Komering Ilir,574415,810222,21,17,288,-,-
157,KABUPATEN KEPULAUAN SIAU TAGULANDANG BIARO,ONDONG SIAU,NO. 15 TAHUN 2007,Pembentukan Kabupaten Kepulauan Siau Tagulandang Biaro di Provinsi Sulawesi Utara,2 Januari 2007,KABUPATEN SANGIHE TALAUD,PROVINSI SULAWESI UTARA,461.11,275.86,Garis Pantai,143400,73496,10,10,83,INISIATIF DPR-RI,Perubahan Nama Daerah Induk berdasarkan PP No. 59 Tahun 2014 tentang Perubahan Nama Kabupaten Kepulauan Sangihe dan  Talaud menjadi Kabupaten Kepulauan Sangihe
158,KABUPATEN MINAHASA TENGGARA,RATAHAN,NO. 9 TAHUN 2007,Pembentukan Kabupaten Minahasa Tenggara di Provinsi Sulawesi Utara,02 Januari 2007,KABUPATEN MINAHASA SELATAN,PROVINSI SULAWESI UTARA,1409.97,710.83,"Kab Minahasa
Kab. Minahasa Selatan
Kab. Bolaang Mongondow Timur",237962,116978,12,9,135,INISIATIF DPR-RI,-
159,KOTA TOMOHON,-,NO. 10 TAHUN 2003,Pembentukan Kabupaten Minahasa Selatan dan Kota Tomohon di Provinsi Sulawesi Utara,25 Februari 2003,KABUPATEN MINAHASA,PROVINSI SULAWESI UTARA,1114.87,114.2,Kab. Minahasa,340392,99379,5,44,-,-,-
160,KABUPATEN MINAHASA UTARA,KOTA AIRMADIDI,NO. 33 TAHUN 2003,Pembentukan Kabupaten Minahasa Utara di Provinsi Sulawesi Utara,18 Desember 2003,KABUPATEN MINAHASA,PROVINSI SULAWESI UTARA,1114.87,918.49,"Garis Pantai
Kota Manado
Kota Bitung
Kab. Minahasa",340392,220856,10,6,125,INISIATIF DPR-RI,-
161,KOTA PARIAMAN,-,NO. 12 TAHUN 2002,Pembentukan Kota Pariaman Di Provinsi Sumatera Barat,10 April 2002,KABUPATEN PADANG PARIAMAN,PROVINSI SUMATERA BARAT,1332.51,66.13,Kab. Padang Pariaman,427919,92758,4,16,55,-,-
162,KOTA PADANG SIDEMPUAN,-,NO. 4 TAHUN 2001,Pembentukan Kota Padang Sidempuan,21 Juni 2001,KABUPATEN TAPANULI SELATAN,PROVINSI SUMATERA UTARA,6030.47,114.66,Kab. Tapanuli Selatan,310274,225535,6,37,42,PENINGKATAN STATUS DARI KOTA ADMINISTRATIF MENJADI KOTA OTONOM,-
163,KABUPATEN PADANG LAWAS,SIBUHUAN,NO. 38 TAHUN 2007,Pembentukan Kabupaten Padang Lawas di Provinsi Sumatera Utara,10 Agustus 2007,KABUPATEN TAPANULI SELATAN,PROVINSI SUMATERA UTARA,6030.47,3892.74,"Kab. Pasaman (Prov Sumatera Barat)
Kab. Rokan Hulu (Prov. Riau)
Kab. Mandailing Natal
Kab. Padang Lawas Utara 
Kab. Tapanuli Selatan",310274,260406,12,1,303,INISIATIF DPR-RI,-
164,KABUPATEN PADANG LAWAS UTARA,GUNUNG TUA,NO. 37 TAHUN 2007,Pembentukan Kabupaten Padang Lawas Utara di Provinsi Sumatera Utara,10 Agustus 2007,KABUPATEN TAPANULI SELATAN,PROVINSI SUMATERA UTARA,6030.47,3918.05,"Kab. Rokan Hilir (Prov. Riau)
Kab. Rokan Hulu (Prov. Riau)
Kab. Tapanuli Selatan
Kab. Padang Lawas
Kab. Labuhanbatu Utara
Kab. Labuhanbatu 
Kab. Labuhanbatu Selatan",310274,266864,12,2,386,INISIATIF DPR-RI,-
165,KABUPATEN NIAS SELATAN,TELUK DALAM,NO. 9 TAHUN 2003,"Pembentukan Kabupaten Nias Selatan, Kabupaten Pakpak Bharat, dan Kabupaten Humbang Hasundutan di Provinsi Sumatera Utara",25 Februari 2003,KABUPATEN NIAS,PROVINSI SUMATERA UTARA,1842.51,1825.2,"Kab. Nias Barat
Kab. Nias",153417,364606,35,2,459,-,-
